zona,cuadrante,anio,punto_lat,punto_lon,elevacion_m,area_ha,horas,hfrio_19,hfrio_15,hfrio_14,hfrio_14_19,hac_20_25,hac_25,t_prom,t_min,t_max,humedad,lluvia,eto
la_joya,-16.4_-71.9,2008,-16.441354,-71.864319,1438,1836.2,8784,5308.0,905.0,429.0,4879.0,2429.0,329.0,18.61,14.71,23.58,54.37,673.3,1608.39
la_joya,-16.4_-71.9,2009,-16.441354,-71.864319,1438,1836.2,8760,5273.0,799.0,400.0,4873.0,2565.0,255.0,18.67,14.72,23.66,56.95,674.8,1599.46
la_joya,-16.4_-71.9,2025,-16.441354,-71.864319,1438,1836.2,8760,3809.0,372.0,197.0,3612.0,3043.0,807.0,20.06,16.05,24.99,48.77,565.6,1729.29
la_joya,-16.4_-71.9,2026,-16.441354,-71.864319,1438,1836.2,8760,4095.0,352.0,208.0,3887.0,2740.0,969.0,20.02,15.79,25.1,49.07,615.3,1757.89
majes,-16.4_-72.2,2001,-16.38405,-72.183609,1357,9234.5,8760,5563.0,1804.0,1011.0,4552.0,2510.0,169.0,18.06,14.33,23.65,66.01,37.6,1526.68
majes,-16.4_-72.2,2002,-16.38405,-72.183609,1357,9234.5,8760,5404.0,1654.0,844.0,4560.0,2396.0,384.0,18.35,14.5,24.04,64.6,34.6,1572.51
majes,-16.4_-72.2,2003,-16.38405,-72.183609,1357,9234.5,8760,5244.0,1302.0,658.0,4586.0,2573.0,380.0,18.63,14.65,24.35,63.05,17.8,1581.15
majes,-16.4_-72.2,2004,-16.38405,-72.183609,1357,9234.5,8784,5478.0,1657.0,922.0,4556.0,2441.0,356.0,18.31,14.27,24.14,63.25,15.7,1589.25
majes,-16.4_-72.2,2005,-16.38405,-72.183609,1357,9234.5,8760,5445.0,1709.0,890.0,4555.0,2454.0,306.0,18.24,14.33,23.98,64.97,26.0,1559.5
majes,-16.4_-72.2,2006,-16.38405,-72.183609,1357,9234.5,8760,5556.0,1917.0,1100.0,4456.0,2440.0,210.0,18.06,14.19,23.75,64.55,23.8,1534.02
majes,-16.4_-72.2,2025,-16.38405,-72.183609,1357,9234.5,8760,5266.0,1585.0,893.0,4373.0,2582.0,320.0,18.43,14.06,24.07,59.56,71.5,1620.6
majes,-16.4_-72.2,2026,-16.38405,-72.183609,1357,9234.5,8760,5335.0,1746.0,919.0,4416.0,2631.0,288.0,18.36,13.97,24.08,60.35,109.3,1621.16
majes,-16.4_-72.3,2001,-16.376803,-72.270813,1272,3437.0,8760,5807.0,2254.0,1432.0,4375.0,2337.0,101.0,17.62,13.98,23.19,69.74,37.6,1489.58
majes,-16.4_-72.3,2002,-16.376803,-72.270813,1272,3437.0,8760,5690.0,2138.0,1281.0,4409.0,2247.0,269.0,17.85,14.1,23.51,68.58,34.6,1531.12
majes,-16.4_-72.3,2003,-16.376803,-72.270813,1272,3437.0,8760,5563.0,1765.0,995.0,4568.0,2459.0,225.0,18.1,14.26,23.76,67.21,17.8,1536.36
majes,-16.4_-72.3,2004,-16.376803,-72.270813,1272,3437.0,8784,5759.0,2152.0,1293.0,4466.0,2347.0,198.0,17.79,13.9,23.58,67.79,15.7,1545.27
majes,-16.4_-72.3,2005,-16.376803,-72.270813,1272,3437.0,8760,5736.0,2209.0,1310.0,4426.0,2282.0,211.0,17.75,13.97,23.45,69.21,26.0,1515.53
majes,-16.4_-72.3,2006,-16.376803,-72.270813,1272,3437.0,8760,5829.0,2441.0,1602.0,4227.0,2254.0,145.0,17.56,13.83,23.25,69.0,23.8,1493.17
majes,-16.4_-72.3,2007,-16.376803,-72.270813,1272,3437.0,8760,5660.0,2019.0,1113.0,4547.0,2370.0,215.0,17.94,14.15,23.66,68.42,14.6,1532.02
majes,-16.4_-72.3,2008,-16.376803,-72.270813,1272,3437.0,8784,6111.0,2624.0,1763.0,4348.0,2097.0,59.0,17.15,13.47,22.64,68.87,45.4,1445.1
majes,-16.4_-72.3,2009,-16.376803,-72.270813,1272,3437.0,8760,5867.0,2307.0,1481.0,4386.0,2275.0,102.0,17.54,13.82,23.12,70.17,37.9,1472.71
majes,-16.4_-72.3,2010,-16.376803,-72.270813,1272,3437.0,8760,5652.0,1953.0,1175.0,4477.0,2267.0,307.0,17.99,14.26,23.57,69.76,25.6,1488.05
majes,-16.4_-72.3,2011,-16.376803,-72.270813,1272,3437.0,8760,6055.0,2590.0,1769.0,4286.0,2171.0,52.0,17.18,13.58,22.7,70.21,38.4,1456.44
majes,-16.4_-72.3,2012,-16.376803,-72.270813,1272,3437.0,8784,5740.0,2014.0,1195.0,4545.0,2335.0,155.0,17.83,14.27,23.31,70.36,50.1,1477.44
majes,-16.4_-72.3,2013,-16.376803,-72.270813,1272,3437.0,8760,5688.0,2115.0,1133.0,4555.0,2321.0,195.0,17.86,14.23,23.38,70.37,51.8,1503.28
majes,-16.4_-72.3,2014,-16.376803,-72.270813,1272,3437.0,8760,5878.0,2298.0,1382.0,4496.0,2292.0,133.0,17.57,13.88,23.2,69.22,13.1,1508.5
majes,-16.4_-72.3,2015,-16.376803,-72.270813,1272,3437.0,8760,5513.0,1516.0,725.0,4788.0,2507.0,179.0,18.2,14.58,23.52,69.41,80.3,1475.72
majes,-16.4_-72.3,2016,-16.376803,-72.270813,1272,3437.0,8784,5083.0,1450.0,782.0,4301.0,2482.0,586.0,18.76,14.78,24.47,65.95,23.8,1599.34
majes,-16.4_-72.3,2017,-16.376803,-72.270813,1272,3437.0,8760,5394.0,1638.0,856.0,4538.0,2500.0,262.0,18.31,14.57,23.81,68.49,57.8,1512.88
majes,-16.4_-72.3,2018,-16.376803,-72.270813,1272,3437.0,8760,5611.0,1892.0,1144.0,4467.0,2433.0,212.0,17.96,14.07,23.62,66.86,25.7,1545.4
majes,-16.4_-72.3,2019,-16.376803,-72.270813,1272,3437.0,8760,5409.0,1682.0,837.0,4572.0,2514.0,302.0,18.36,14.47,23.98,66.45,55.4,1549.58
majes,-16.4_-72.3,2020,-16.376803,-72.270813,1272,3437.0,8784,5451.0,1551.0,935.0,4516.0,2522.0,271.0,18.35,14.61,23.86,67.19,91.9,1528.9
majes,-16.4_-72.3,2021,-16.376803,-72.270813,1272,3437.0,8760,5712.0,2256.0,1432.0,4280.0,2334.0,213.0,17.73,13.76,23.45,65.53,29.1,1567.83
majes,-16.4_-72.3,2022,-16.376803,-72.270813,1272,3437.0,8760,5766.0,2390.0,1440.0,4326.0,2368.0,155.0,17.62,13.65,23.33,64.08,27.9,1565.97
majes,-16.4_-72.3,2023,-16.376803,-72.270813,1272,3437.0,8760,5493.0,2233.0,1419.0,4074.0,2446.0,272.0,17.96,13.84,23.74,64.84,62.1,1582.86
majes,-16.4_-72.3,2024,-16.376803,-72.270813,1272,3437.0,8784,4973.0,1433.0,751.0,4222.0,2513.0,655.0,18.88,14.58,24.8,65.46,48.5,1619.96
majes,-16.4_-72.3,2025,-16.376803,-72.270813,1272,3437.0,8760,5308.0,1765.0,1001.0,4307.0,2509.0,380.0,18.35,13.93,24.1,62.71,71.5,1606.38
majes,-16.4_-72.3,2026,-16.376803,-72.270813,1272,3437.0,8760,5344.0,1870.0,1074.0,4270.0,2553.0,337.0,18.29,13.89,24.09,63.46,109.3,1605.1
la_joya,-16.5_-71.8,2001,-16.485473,-71.830673,1560,2298.3,8760,5223.0,854.0,427.0,4796.0,2635.0,208.0,18.65,14.83,23.61,56.47,682.9,1622.34
la_joya,-16.5_-71.8,2002,-16.485473,-71.830673,1560,2298.3,8760,4917.0,723.0,339.0,4578.0,2718.0,387.0,19.02,15.04,24.15,55.29,437.8,1684.84
la_joya,-16.5_-71.8,2003,-16.485473,-71.830673,1560,2298.3,8760,4622.0,709.0,401.0,4221.0,2864.0,486.0,19.31,15.13,24.52,53.71,253.6,1711.11
la_joya,-16.5_-71.8,2004,-16.485473,-71.830673,1560,2298.3,8784,4924.0,918.0,484.0,4440.0,2714.0,399.0,18.96,14.71,24.22,52.32,275.4,1714.95
la_joya,-16.5_-71.8,2005,-16.485473,-71.830673,1560,2298.3,8760,5072.0,870.0,464.0,4608.0,2754.0,278.0,18.8,14.74,23.91,56.07,386.6,1661.67
la_joya,-16.5_-71.8,2006,-16.485473,-71.830673,1560,2298.3,8760,5235.0,923.0,476.0,4759.0,2624.0,198.0,18.62,14.75,23.55,54.63,547.0,1603.32
la_joya,-16.5_-71.8,2007,-16.485473,-71.830673,1560,2298.3,8760,4715.0,668.0,296.0,4419.0,2911.0,380.0,19.24,15.11,24.42,52.85,227.5,1711.26
la_joya,-16.5_-71.8,2008,-16.485473,-71.830673,1560,2298.3,8784,5507.0,1118.0,544.0,4963.0,2374.0,204.0,18.32,14.42,23.22,54.67,673.3,1596.78
la_joya,-16.5_-71.8,2009,-16.485473,-71.830673,1560,2298.3,8760,5441.0,985.0,517.0,4924.0,2485.0,170.0,18.38,14.49,23.25,57.45,674.8,1587.22
la_joya,-16.5_-71.8,2010,-16.485473,-71.830673,1560,2298.3,8760,4494.0,693.0,364.0,4130.0,2861.0,555.0,19.44,15.3,24.61,53.04,243.4,1726.37
la_joya,-16.5_-71.8,2011,-16.485473,-71.830673,1560,2298.3,8760,5570.0,878.0,392.0,5178.0,2420.0,136.0,18.35,14.77,23.1,55.73,537.0,1574.87
la_joya,-16.5_-71.8,2012,-16.485473,-71.830673,1560,2298.3,8784,5239.0,915.0,435.0,4804.0,2588.0,218.0,18.62,14.85,23.45,57.82,660.9,1607.44
la_joya,-16.5_-71.8,2013,-16.485473,-71.830673,1560,2298.3,8760,4845.0,596.0,306.0,4539.0,2849.0,322.0,19.17,15.29,24.17,53.84,411.3,1680.64
la_joya,-16.5_-71.8,2014,-16.485473,-71.830673,1560,2298.3,8760,5129.0,774.0,354.0,4775.0,2720.0,249.0,18.82,14.9,23.9,55.4,313.6,1663.71
la_joya,-16.5_-71.8,2015,-16.485473,-71.830673,1560,2298.3,8760,4703.0,478.0,205.0,4498.0,2732.0,476.0,19.3,15.41,24.16,55.66,807.7,1652.0
la_joya,-16.5_-71.8,2016,-16.485473,-71.830673,1560,2298.3,8784,3907.0,587.0,316.0,3591.0,2982.0,844.0,19.96,15.81,25.13,52.26,406.2,1772.92
la_joya,-16.5_-71.8,2017,-16.485473,-71.830673,1560,2298.3,8760,5001.0,579.0,234.0,4767.0,2591.0,351.0,19.01,15.31,23.71,57.78,1050.3,1569.1
la_joya,-16.5_-71.8,2018,-16.485473,-71.830673,1560,2298.3,8760,4967.0,633.0,291.0,4676.0,2765.0,315.0,19.01,15.2,23.86,54.34,508.1,1638.84
la_joya,-16.5_-71.8,2019,-16.485473,-71.830673,1560,2298.3,8760,4554.0,536.0,241.0,4313.0,2822.0,529.0,19.49,15.45,24.42,52.9,719.0,1694.07
la_joya,-16.5_-71.8,2020,-16.485473,-71.830673,1560,2298.3,8784,4498.0,566.0,298.0,4200.0,2848.0,552.0,19.45,15.5,24.35,53.83,596.9,1685.38
la_joya,-16.5_-71.8,2021,-16.485473,-71.830673,1560,2298.3,8760,5119.0,884.0,438.0,4681.0,2685.0,263.0,18.77,14.84,23.65,52.75,344.5,1662.53
la_joya,-16.5_-71.8,2022,-16.485473,-71.830673,1560,2298.3,8760,5111.0,832.0,443.0,4668.0,2773.0,235.0,18.81,14.8,23.77,49.65,262.6,1695.58
la_joya,-16.5_-71.8,2023,-16.485473,-71.830673,1560,2298.3,8760,5012.0,766.0,376.0,4636.0,2814.0,262.0,18.93,14.76,23.8,52.04,629.9,1659.43
la_joya,-16.5_-71.8,2024,-16.485473,-71.830673,1560,2298.3,8784,3668.0,418.0,184.0,3484.0,3152.0,796.0,20.12,15.94,25.06,52.35,421.6,1732.29
la_joya,-16.5_-71.8,2025,-16.485473,-71.830673,1560,2298.3,8760,4469.0,669.0,384.0,4085.0,2931.0,458.0,19.39,15.25,24.24,50.73,565.6,1693.39
la_joya,-16.5_-71.8,2026,-16.485473,-71.830673,1560,2298.3,8760,4584.0,613.0,328.0,4256.0,2774.0,587.0,19.42,15.08,24.43,50.24,615.3,1730.14
