zona,anio,cuadrantes,area_ha,hfrio_19,hfrio_15,hfrio_14,hfrio_14_19,hac_20_25,hac_25,t_prom,t_min,t_max,humedad,lluvia,eto
majes,2015,6,30120.2,5381.99,965.34,383.12,4998.87,2595.48,202.38,18.54,14.97,23.57,63.91,169.69,1527.83
majes,2016,6,30120.2,4840.85,937.73,476.81,4364.04,2631.86,598.93,19.15,15.22,24.61,59.91,44.13,1659.2
majes,2017,6,30120.2,5375.54,1109.5,505.14,4870.4,2567.82,232.14,18.5,14.88,23.67,63.66,134.44,1548.45
majes,2018,6,30120.2,5440.36,1320.88,637.13,4803.23,2555.23,210.14,18.32,14.54,23.69,60.77,66.08,1600.51
majes,2019,6,30120.2,5229.4,1070.09,446.89,4782.51,2591.4,318.72,18.7,14.87,24.01,60.64,126.48,1604.02
majes,2020,6,30120.2,5417.24,1170.89,588.27,4828.97,2538.92,238.27,18.47,14.85,23.64,62.26,172.89,1568.4
majes,2021,6,30120.2,5791.05,2133.71,1189.8,4601.25,2323.18,134.89,17.66,13.82,23.04,60.68,56.96,1590.72
majes,2022,6,30120.2,5815.55,2222.96,1151.8,4663.75,2320.02,110.27,17.59,13.75,22.96,58.9,64.16,1596.39
majes,2023,6,30120.2,5601.7,2052.03,1217.73,4383.96,2435.24,157.92,17.85,13.84,23.23,60.11,155.37,1607.88
majes,2024,6,30120.2,4990.02,1149.41,591.95,4398.07,2641.6,492.06,18.89,14.74,24.42,60.22,80.01,1652.22
majes,2025,6,30120.2,5381.6,1529.01,828.84,4552.76,2533.98,252.28,18.29,14.08,23.65,57.89,125.66,1629.8
majes,2026,6,30120.2,5435.8,1666.22,855.14,4580.65,2558.59,229.12,18.21,13.97,23.65,58.64,184.26,1636.58
